time_sec,hr_mean,hr_slope,spo2_mean,spo2_slope,sbp_mean,dbp_mean,motion_mean,confidence_mean,anomaly_score,anomaly_flag,anomaly_norm,spo2_risk,trend_risk,risk_score,alert_raw,alert,ground_truth
29,78.76323517564815,-0.1741032749017079,96.70350642592386,0.027859119711866,119.305719473307,78.69527259953573,0.1519546737096306,0.8599252417166862,-0.0269534594833358,0,0.2858957169639684,0.0540103642361515,0.4875475428608947,30.0014194187483,0,0,0
34,78.31341299859676,-0.0253579922350697,96.88893119087,0.0246201974002077,119.19967603828812,78.85489785079879,0.1533240431409157,0.8587011916741659,-0.0507452536896272,0,0.2062399004472086,0.039936562212593,0.1187161457989559,14.672210640580968,0,0,0
39,77.59905151886313,0.057470428695952,96.96222730694488,0.0094886144685127,119.9691127476792,78.89781110342238,0.157283491278429,0.8555031825282188,-0.0740043136784586,0,0.1283676980080695,0.0343733623507359,0.1599248485807265,11.90359760483999,0,0,0
44,78.00455645256531,0.0861067388384402,96.89330937578784,0.0155702558150859,119.01699287288066,78.8605480316116,0.1509584242042025,0.8610505235343743,-0.0451685892599418,0,0.2249107814549594,0.0396042565048085,0.2441774888644169,19.36294886877665,0,0,0
49,78.54271166478111,0.04633947854713,97.05311160247868,0.005806494619211,118.5249965930436,79.28934341333049,0.1453648206776495,0.866092831453008,-0.0686717906393061,0,0.1462211845124962,0.0274752137524906,0.1239768676509682,11.579869530203672,0,0,0
54,78.91350498356698,0.1169312465720842,97.19734822018371,0.0173153692473183,119.00025976853918,79.57947000939235,0.1413065805888151,0.8697431081931843,-0.0524774236516735,0,0.2004405306528904,0.0165276059573933,0.3232166158454327,20.04907712715537,0,0,0
59,79.42219222318174,0.1166606703431492,97.24336784012092,0.0193516369900329,120.0273542470044,79.61263962775088,0.1446315477409359,0.866870280180127,-0.07381131287469,0,0.1290138719148911,0.013034701326323,0.327501551032617,16.53643415324953,0,0,0
64,79.29255932704874,0.0912582549410164,97.29496013470884,0.0307991383074529,120.0002685063242,79.58784643203252,0.1462598702683211,0.8658090981280971,-0.073657858865377,0,0.1295276416753224,0.0091188288149982,0.2936361210132348,15.46784229046313,0,0,0
69,80.26604066242056,0.0802915939144296,97.3298809628158,0.012397114663596,119.90124044679838,79.5085195342313,0.1480186129648811,0.8643418493306044,-0.112345491853448,0,0.0,0.0064683262167124,0.2223649451800743,6.800314879736479,0,0,0
74,80.6873390917032,0.1008140246869931,97.38408771930555,-0.0125046956704075,120.97582455265456,79.96266795026106,0.1581664604563619,0.8554581243114064,-0.0855939177692969,0,0.0895652702064038,0.0023540151677124,0.2724293322463337,12.698223781064454,0,0,0
